ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
SP;Arujá, Caieiras, Ferraz de Vasconcelos, Franco da Rocha, Guarulhos, Itaquaquecetuba, Mairiporã, Nazaré Paulista, Poá, Santa Izabel, Santo André, São Caetano do Sul, São Paulo, Suzano;GSD 22 cm;Aerofotogrametria ;050/2017;BASE;B-1262/2017
MG;Santa Luzia, São José da Lapa, Vespasiano;GSD 12 cm;Aerofotogrametria;021/2018;BASE;B-1238/2018
SP;Campinas;GSD 6 cm;Aerofotogrametria;032/218;BASE;B-1268/2018
SP;Suzano;GSD 10 cm;Aerofotogrametria;041/2018;BASE;B-1270/2018
SP;Monguaguá, São Vicente, Praia Grande;GSD 06 cm ;Aerofotogrametria e Perfilamento a Laser;011/2018;BASE;B-1269/2018
PR;Coronel Vivida, Itapejara, D'oete, Nova Aurora, Ubiratâ, Corbélia, Reserva do Iguaçu, Mangueirinha, Faz do Jordão, Guaratuba, Tijucas do Sul, São José dos Pinhais, Morretes, Quatro Barras, Antonina, Campina Grande do Sul, Bocaiúva do Sul;GSD 22 cm;Aerofotogrametria;042/2018;BASE;B-1272
SP;Jandira, Itapevi, Barueri, Carapicuiva;GSD 6 cm;Aerofotogrametria e Perfilamento a Laser;051/2018;BASE;B-1273
MG;Mariana;GSD 3 cm;Aerofotogrametria  ;054/2018;BASE;B-1271
SP;São Paulo;GSD 6 cm;Aerofotogrametria;091/2018;BASE;B-1275/2018
PR;Candói, Virmond, Cruz Machado, Porto União, Prudentópolis, Guamiranga;GSD 22 cm;Aerofotogrametria  ;200/2018;BASE;B-1280
ES;Linhares;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;235/2018;BASE;B-1281/2018
SP;Ferraz de Vasconcelos, Itaquaquecetuba, Mauá, Mogi das Cruzes, Poá, Ribeirão Pires, Rio Grande da Serra, Santo André, São Paulo, Suzano;GSD 22 cm e 6 cm;Aerofotogrametria;215/2018;BASE;B-1278/2018
SP;Holambra, Artur Nogueira, Santo Antônio de Posse, Jaguariúna, Mogi Mirim, Paulínia, Cosmópolis;GSD 10 cm e 25 cm;Aerofotogrametria;208/2018;BASE;B-1279/2018
GO;Mara Rosa;Não Aplicável;Perfilamento a Laser;001/2019;BASE;B-1282/2018
SP;Franco da Rocha, Francisco Morato, Mairiporã, Caieiras, Cajamar, Jundiaí;GSD 6 cm e 15 cm;Aerofotogrametria e perfilamento a laser;042/2019;BASE;B-1283/2018
SP;Campinas;GSD 6 cm  ;Aerofotogrametria;066/2019;BASE;B-1277A/2019
BA;Baianópolis, Barreiras, Luís Eduardo Magalhães, Riachão das Neves;GSD 08 cm;Aerofotogrametria e perfilamento a laser;061/2019;BASE;B-1284/2019
TO;Almas, Conceição do Tocantins, Dianópolis, Gurupi, Monte do Carmo, Natividade, Novo Jardim, Peixe, Pindorama do Tocantins, Ponte Alta do Bom Jesus, Ponte Alta do Tocantins, Porto Alegre do Tocantins, Santa Rosa do Tocantins, São Valério da Natividade, Silvanópolis, Palmas, Tocantínia;GSD 08 cm;Aerofotogrametria e perfilamento a laser;061/2019;BASE;B-1284/2019
BA;Angical, Barreiras, Formosa do Rio Preto, Luís Eduardo Magalhães, Riachão das Neves;GSD 6 cm;Aerofotogrametria e perfilamento a laser;228/2019;BASE;B-1292/2019
TO;Gurupi, Novo Jardim, Peixe, São Valério da Natividade, Sucupira;GSD 6 cm;Aerofotogrametria e perfilamento a laser;228/2019;BASE;B-1292/2019
MA;Anapurus, Chapadinha, Mara Roma, Milagres do Maranhão, Santa Quitéria do Maranhão, São Benedito do Rio Preto, Urbano Santos;1:10.000;Interferometria SAR;060/2016;BRADAR;jan/16
PI;Colônia do Gurguéia, Eliseu Martins, Canto do Buriti;Não aplicável;Interferometria SAR;099/2016;BRADAR;mar/16
BA;Barra do Rocha, Conceição do Almeida, Gandu, Ibirataia, Ipiaú, Jaguaripe, Laje, Nova Ibiá, Presidente Tancredo Neves, Santo Antônio de Jesus, Sapeaçu, Teolândia, Ubaitaba, Ubatã, Valença, Wenceslau Guimarães;GSD 20 cm;Aerofotogrametria e perfilamento a laser;049/2019;CHESF;001/2019
TO;Palmas;GSD 8 cm;Aerofotogrametria e Perfilamento a Laser;053/2016;ENGEFOTO;0002/16
MG;Varginha, Três Pontas, Nepomuceno, Itutinga, Nazareno, Conceição da Barra de Minas, São João Del Rei, Ritápolis, Resende Costa, Entre Rios de Minas, São Brás do Suaçuí, Jeceaba, Congonhas, Ouro Branco, Ouro Preto, Itabirito, Mariana, João Monlevade, Bela Vista de Minas, Nova Era ;GSD 13 cm;Aerofotogrametria e Perfilamento a Laser;100/2016;ENGEFOTO;003/2016
PI;Buriti dos Lopes, Bom Princípio do Piauí, Luis Correia;GSD 13 cm;Aerofotogrametria e Perfilamento a Laser;109/2016;ENGEFOTO;0004/2016
CE;Chaval, Barroquinha, Camocim, Granja, Martinópole, Bela Cruz, Cruz, Acaraú, Itarema, Amontada, Itapipoca, Trairi, Paraipaba, São Gonçalo do Amarante, Caucaia, Marcos, Senador Sá, Uruoca, Moraújo, Tianguá, Viçosa do Ceará, Ubajara, Ibiapina;GSD 13 cm;Aerofotogrametria e Perfilamento a Laser;109/2016;ENGEFOTO;0004/2016
ES;São Mateus, Jaguaré, Vila Valério, Sooretama, Rio Bananal, Linhares;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;157/2016;ENGEFOTO;0006/2016
BA;Buritirama, Mansidão, Santa Rita de Cássia, Riachão das eves, Cotagipe, Anficl, Barreiras. São Desidério, Correntina;GSD 14 cm;Aerofotogrametria e Perfilamento a Laser;016/2017;ENGEFOTO;0001/2017
PR;São Gerônimo da Serra, Tamarana, Ponta Grossa;GSD 10 a 20 cm;Aerofotogrametria e Perfilamento a Laser;038/2017;ENGEFOTO;0004/2017
SC;Campos Novos, Abdob Batista, São José do Serrito, Cerro Negro, Campo Belo do Sul, Lages, Capão Alto, Painel, Urupema, São Joaquim, Bom Jardim da Serra, Lauro Muller, Forquilinha, Nova Veneza, Siderópolis, Trvisso, Urussanga, Orleans, São Ludgero, Braço do Norte, Grão Parã, Rio Fortuna, Armázem, São Martinho, São Bonifáciom Águas Mornas, Rancho Queimado, São Pedro de Alcântara, Angelina, Antônio Carlos e Biguaçu;GSD 15 cm;Aerofotogrametria e Perfilamento a Laser;164/2017;ENGEFOTO;0008/2017
PR;Guarapuava;GSD 30 cm;Aerofotogrametria e Perfilamento a Laser;201/2017;ENGEFOTO;1114/2017
RS;Serafina Corrêa, Nova Bassano, Guaporé, Vista Alegre do Prata, Fagundes Varela, Dois Lajeados, Cotiporã, Vespasiano Correa, São Valentim do Sul, Muçum, Santa Tereza, Monte Belo do Sul, Roca Sales;GSD 26 cm;Aerofotogrametria e Perfilamento a Laser;138/2017;ENGEFOTO;007/2017
