ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
PR;Almirante Tamandaré, Araucária, Campina Grande do Sul, Campo Largo, Campo Magro, Colombo, Curitiba, Pinhais, Piraquara, Quatro Barras, São José dos Pinhais;;Aerofotogrametria ;036/2020;GEOJÁ;006/2020
RS;Alvorada, Araricá, Cachoeirinha, Campo Bom, Canoas, Dois Irmãos, Eldorado do Sul, Estância Velha, Esteio, Gravataí, Ivoti, Lagoa dos Patos, Nova Santa Rita, Novo Hamburgo, São Leopoldo, Sapiranga, Sapucaia do Sul, Viamão;;Aerofotogrametria ;036/2020;GEOJÁ;006/2020
SC;Biguaçu, Florianópolis, Palhoça, Santo Amaro da Imperatriz, São José;;Aerofotogrametria ;036/2020;GEOJÁ;006/2020
MT;Aripuanã, Brasnorte, Castanheira, Colniza, Cotriguaçu, Juara, Juína, Nova Bandeirantes, Sapezal;;Radar;097/2020;GEOJÁ;010/2020
RO;Vilhena;;Radar;097/2020;GEOJÁ;010/2020
SP;Araçariguama, Cabreúva, Elias Fausto, Indaiatuba, Itupeva, Itu, Mairinque, Porto Feliz, Salto, São Roque, Sorocaba;;Aerofotogrametria ;105/2020;GEOJÁ;011/2020
SP;Angatuba, Buri, Campina do Monte Alegre, Capão Bonito, Itaberá, Itaí, Itapetininga, Itapeva, Nova Campina, Paranapanema, Taquarivaí;;Aerofotogrametria ;153/2020;GEOJÁ;013/2020
RS;Ijuí;;Aerofotogrametria ;258/2020;GEOPROCSUL;GPS 366/2020
RS;Montenegro, Nova Santa Rita, Triunfo;;Aerofotogrametria ;259/2020;GEOPROCSUL;GPS 361/2020
;;;;;;
;;;;;;
SP;Campinas ;1:100;Aerofotogrametria ;274/2020;GEOSURV;002/2020
GO;Caldazinha, Senador Canedo;;Aerofotogrametria ;108/2020;HELMERT;001/2020
BA;Banzaê, Cícero Dantas;1:1.000;Aerofotogrametria ;141/2020;HELMERT;002/2020
GO;Goiânia, Senador Canedo;1:1.000;Aerofotogrametria ;160/2020;HELMERT;003/2020
GO;Itaberaí;1:1.000;Aerofotogrametria ;207/2020;HELMERT;005/2020
PR;Almirante Tamandaré, Araucária, Campo Largo, Campo Magro, Carambeí, Castro, Colombo, Curitiba, Curiúva, Itaperuçu, Jaguariaíva, Pinhais, Piraí do Sul, Piraquara, Rio Branco do Sul, São José dos Pinhais, Telêmaco Borba, Tibagi, Ventania;GSD 35 cm;Aerofotogrametria ;033/2020;HIPARC;002/2020
RS;Bom Jesus, Vacaria;GSD 40 cm;Aerofotogrametria ;107/2020;METRICA;001/2020
SC;Lages, São Joaquim;GSD 40 cm;Aerofotogrametria ;107/2020;METRICA;001/2020
MS;Porto Murtinho;GSD 10 cm;Aerofotogrametria ;170/2020;METRICA;002/2020
SC;Ibirama, José Boiteux, Presidente Getúlio;GSD 10 cm;Aerofotogrametria ;176/2020;METRICA;003/2020
SC;Aurora, Chapadão do Lageado, Ituporanga, Petrolândia;GSD 10 cm;Aerofotogrametria e perfilamento a laser;209/2020;METRICA;004/2020
SC;Capão Alto, Lages;GSD 15 cm;Aerofotogrametria ;218/2020;METRICA;006/2020
SC;Rio do Oeste, Salete, Taió;GSD 15 cm;Aerofotogrametria ;230/2020;METRICA;007/2020
MS;Eldorado, Itaquiraí;;Aerofotogrametria ;104/2020;NUVVE;001/2020
SP;Guará, Ipuã, Ituverava, São Joaquim da ;;Aerofotogrametria ;111/2020;NUVVE;002/2020
MS;Selvíria;;Aerofotogrametria ;XXXX;NUVVE;003/2020
SP;Lutécia;;Aerofotogrametria ;XXXX;NUVVE;004/2020
RS;Caraá, Glorinha, Santo Antônio da Patrulha;;Aerofotogrametria ;091/2020;ROTORWEST;003/2020
RS;Rolante;;Aerofotogrametria e perfilamento a laser;094/2020;ROTORWEST;004/2020
RS;Gravataí;;Aerofotogrametria e perfilamento a laser;100/2020;ROTORWEST;005/2020
PA;Altamira;;Aerofotogrametria e perfilamento a laser;175/2020;ROTORWEST;006/2020
MG;Capitão Enéas, Janaúba;;Aerofotogrametria e perfilamento a laser;246/2020;ROTORWEST;008/2020
MG;Belo Horizonte, Confins, Lagoa Santa, Pedro Leopoldo, Ribeirão das Neves, Santa Luzia, São José da Lapa, Vespasiano;;Aerofotogrametria,  perfilamento a laser e Multiespectral;268/2020;ROTORWEST;010/2020
SP;Andradina, Ila Solteira, Itapura, Pereira Barreto;1:1.000;Aerofotogrametria e perfilamento a laser;009/2020;SAI;002/2020
RS;Bento Gonçalves, Caxias do Sul, Farroupilha, Flores da Cunha, Nova Pádua, Nova Roma do Sul, Veranópolis;1:1.000;Aerofotogrametria e perfilamento a laser;013/2020;SAI;003/2020
MG;Araxá, Nova Ponte, Perdizes, Santa Juliana, Uberaba, Uberlândia;1:1.000;Aerofotogrametria e perfilamento a laser;014/2020;SAI;004/2020
BA;Andaraí, Caém, Caldeirão Grande, Camaçari, Capim Grosso, Coronel João Sá, Ibicoara, Itanagra, Jacobina, Mata de São João, Mucugê, Pojuca, Ponto Novo, Queimadas, Sítio do Quinto;1:1.000;Aerofotogrametria e perfilamento a laser;015/2020;SAI;005/2020
SP;Capão Bonito, Eldorado, Iporanga, Ribeirão Grande;1:2.000;Aerofotogrametria e perfilamento a laser;032/2020;SAI;007/2020
MG;Canápolis, Gurinhatã, Ituiutaba, Monte Alegre de Minas, Santa Vitória, Uberlândia;;Aerofotogrametria e perfilamento a laser;035/2020;SAI;008/2020
GO;Aparecida do Rio Doce, Cachoeira Alta, Jataí, Paranaiguara, Rio Verde, São Simão;;Aerofotogrametria e perfilamento a laser;035/2020;SAI;008/2020
BA;Sento Sé;;Aerofotogrametria e perfilamento a laser;043/2020;SAI;009/2020
GO;Cidade Ocidental, Cristalina, Luziânia;;Aerofotogrametria e perfilamento a laser;048/2020;SAI;010/2020
RJ;Angra dos Reis, Aperibé, Araruama, Areal, Armação dos Búzios, Bom Jardim, Bom Jesus do Itabapoana, Cabo Frio, Cachoeiras de Macacu, Cambuci, Campos dos Goytacazes, Cantagalo, Carapebus, Cardoso Moreira, Carmo, Casimiro de Abreu, Conceição de Macabu, Cordeiro, Duas Barras, Duque de Caxias, Guapimirim, Iguaba Grande, Itaboraí, Italva, Itaocara, Itaperuna, Itatiaia, Macaé, Macuco, Magé, Mangaratiba, Maricá, Miracema, Natividade, Niterói, Nova Friburgo, Paraíba do Sul, Paraty, Petrópolis, Porto Real, Quissamã, Resende, Rio Bonito, Rio das Ostras, Santa Maria Madalena, Santo Antônio de Pádua, São Fidélis, São Francisco de Itabapoana, São Gonçalo, São João da Barra, São Pedro da Aldeia, São Sebastião do Alto, Saquarema, Silva Jardim, Sumidouro, Tanguá, Teresópolis, Trajano de Moraes;;Aerofotogrametria e perfilamento a laser;084/2020;SAI;012/2020
SP;Ubatuba;;Aerofotogrametria e perfilamento a laser;084/2020;SAI;012/2020
ES;Bom Jesus do Norte, Mimoso do Sul, Presidente Kennedy, São José do Calçado;;Aerofotogrametria e perfilamento a laser;084/2020;SAI;012/2020
MG;Volta Grande;;Aerofotogrametria e perfilamento a laser;084/2020;SAI;012/2020
SP;Campos do Jordão, Guaratinguetá, Pindamonhangaba;1:2.000;Aerofotogrametria e perfilamento a laser;085/2020;SAI;013/2020
RS;Bozano, Caçapava do Sul, Cerro Largo, Coronel Barros, Entre-Ijuís, Formigueiro, Guarani das Missões, Ijuí, Panambi, Pejuçara, Porto Xavier, Roque Gonzales, Saldanha Marinho, Salvador das Missões, Santa Bárbara do Sul, Santa Maria, Santana da Boa Vista, Santo Ângelo, São Pedro do Butiá, São Sepé, Sete de Setembro;1:1.000;Aerofotogrametria e perfilamento a laser;087/2020;SAI;014/2020
PA;Altamira, Faro, Gurupá, Melgaço, Oriximiná, Portela, Terra Santa;;Aerofotogrametria e perfilamento a laser;090/2020;SAI;015/2020
RO;Candeias do Jamari, Itapuã do Oeste, Porto Velho;;Aerofotogrametria e perfilamento a laser;090/2020;SAI;015/2020
BA;Antônio Gonçalves, Campo Formoso, Filadélfia, Pindobaçu, Ponto Novo;;Aerofotogrametria e perfilamento a laser;114/2020;SAI;017/2020
BA;Caém, Capim Grosso, Jacobina, Miguel Calmon;1:2.000;Aerofotogrametria e perfilamento a laser;134/2020;SAI;018/2020
RN;Acari, Barcelona, Carnaúba dos Dantas, Currais Novos, Lajes Pintadas, Parelhas, Santa Cruz, São Tomé, Sítio Novo;;Aerofotogrametria e perfilamento a laser;135/2020;SAI;019/2020
PB;Camalaú, Congo, Frei Martinho, Nova Palmeira, Picuí, São João do Tigre;;Aerofotogrametria e perfilamento a laser;135/2020;SAI;019/2020
BA;Jeremoabo, Jussara, Macururé, Rodelas, São Gabriel;;Aerofotogrametria e perfilamento a laser;135/2020;SAI;019/2020
PE;Jataúba, Pesqueira, Poção;;Aerofotogrametria e perfilamento a laser;135/2020;SAI;019/2020
MT;Brasnorte, Campo Novo do Parecis, Nova Maringá;;Aerofotogrametria e perfilamento a laser;158/2020;SAI;020/2020
ES;Pancas;1:1.000;Aerofotogrametria e perfilamento a laser;166/2020;SAI;021/2020
SP;Guararema, Jacareí, Santa Branca;1:500;Aerofotogrametria e perfilamento a laser;168/2020;SAI;022/2020
MG;Buritizeiro, Jaíba, Janaúba, Pirapora, São Gonçalo do Abaeté, Verdelândia;1:1.000;Aerofotogrametria e perfilamento a laser;181/2020;SAI;023/2020
SP;Cajati, Eldorado, Iguape, Jacupiranga, Pariquera-Açu, Registro;1:1.000;Aerofotogrametria e perfilamento a laser;183/2020;SAI;025/2020
BA;Sento Sé, Umburanas;1:1.000;Aerofotogrametria e perfilamento a laser;184/2020;SAI;026/2020
BA;Gentio do Ouro, Xique-Xique;;Aerofotogrametria e perfilamento a laser;185/2020;SAI;027/2020
BA;Coribe, Jaborandi;1:2.000;Aerofotogrametria e perfilamento a laser;192/2020;SAI;028/2020
RN;Equador, Parelhas, Santana do Seridó;;Aerofotogrametria e perfilamento a laser;197/2020;SAI;029/2020
PB;Junco do Seridó, Santa Luzia, São José do Sabugi, Tenório;;Aerofotogrametria e perfilamento a laser;197/2020;SAI;029/2020
RN;Açu, Afonso Bezerra, Alexandria, Almino Afonso, Angicos, Antônio Martins, Augusto Severo, Ipanguaçu, Itajá, Jandaíra, Janduís, João Câmara, João Dias, Lajes, Messias Targino, Paraú, Patu, Pedra Preta, Pedro Avelino, Upanema;;Aerofotogrametria e perfilamento a laser;198/2020;SAI;030/2020
BA;América Dourada, Barra, Brotas de Macaúbas, Buritirama, Caetité, Cafarnaum, Central, Gentio do Ouro, Guanambi, Ipupiara, Itaguaçu da Bahia, João Dourado, Jussara, Morro do Chapéu, Ourolândia, Pindaí, São Gabriel, Várzea Nova, Xique-Xique;;Aerofotogrametria e perfilamento a laser;198/2020;SAI;030/2020
PB;Bom Sucesso, Cachoeira dos Índios, Cajazeiras, Catolé do Rocha, Lastro, Santa Cruz, São João do Rio do Peixe, Sousa;;Aerofotogrametria e perfilamento a laser;198/2020;SAI;030/2020
CE;Barro, Milagres;;Aerofotogrametria e perfilamento a laser;198/2020;SAI;030/2020
PI;Gilbués, Júlio Borges, Monte Alegre do Piauí, Parnaguá, Riacho Frio;;Aerofotogrametria e perfilamento a laser;198/2020;SAI;030/2020
PA;Juruti;;Aerofotogrametria e perfilamento a laser;206/2020;SAI;031/2020
MG;Brumadinho, Congonhas, Conselheiro Lafaiete, Itabirito, Moeda, Ouro Branco, Ouro Preto;;Aerofotogrametria e perfilamento a laser;208/2020;SAI;032/2020
BA;Cahoeira, Governador Mangabeira, Maragogipe, Muritiba, São Félix;;Aerofotogrametria e perfilamento a laser;208/2020;SAI;032/2020
PR;Lapa;1:1.000;Aerofotogrametria e perfilamento a laser;228/2020;SAI;033/2020
MG;Chiador;1:1.000;Aerofotogrametria e perfilamento a laser;229/2020;SAI;034/2020
RJ;Comendador Levy Gasparian, Três Rios;1:1.000;Aerofotogrametria e perfilamento a laser;229/2020;SAI;034/2020
PA;Faro, Oriximiná, Terra Santa;1:500;Aerofotogrametria e perfilamento a laser;236/2020;SAI;035/2020
AM;Itacoatiara, Itapiranga, Manaus, Nhamundá, Parintins, Rio Preto da Eva, São Sebastião do Uatumã, Silves, Urucará;1:500;Aerofotogrametria e perfilamento a laser;236/2020;SAI;035/2020
BA;Cafarnaum, Campo Formoso, Morro do Chapéu;1:500;Aerofotogrametria e perfilamento a laser;260/2020;SAI;039/2020
MG;Ouro Preto;1:1.000;Aerofotogrametria e perfilamento a laser;269/2020;SAI;041/2020
MG;Pirapora;1:1.000;Aerofotogrametria e perfilamento a laser;273/2020;SAI;042/2020
SP;Cubatão, Praia Grande, Santos, São Vicente;1:500;Aerofotogrametria e perfilamento a laser;277/2020;SAI;043/2020
RN;Araruana, Japi, Monte das Gameleiras, Santa Cruz, São José do Campestre, Serra de São Bento, Tangará;;Aerofotogrametria e perfilamento a laser;278/2020;SAI;044/2020
SP;Jacareí, São José dos Campos;;Aerofotogrametria e perfilamento a laser;281/2020;SAI;045/2020
MG;Coronel Murta;;Aerofotogrametria;022/2020;SERTEC;001/2020
MG;Botumirim, Cristália, Grão Mogol;;Aerofotogrametria;023/2020;SERTEC;002/2020
MG;Cristália, Grão Mogol;;Aerofotogrametria;024/2020;SERTEC;003/2020
DF;Brasília;;Aerofotogrametria;201/2020;SERTEC;004/2020
TO;Palmas;;Aerofotogrametria;201/2020;SERTEC;004/2020
SP;Barrinha, Dumont, Jaboticabal, Jardinópolis, Pitangueiras, Pontal, Ribeirão Preto, Sertãozinho;;Aerofotogrametria;193/2020;SSR ;SSR-055/2020
BA;Caetité, Igaporã, Mulungu do Morro, Souto Soares;;Aerofotogrametria e perfilamento a laser;002/2020;TOPOCART;001/2020
RN;Açu, Afonso Bezerra, Alto do Rodrigues, Areia Branca, Carnaubais, Galinhos, Grossos, Guamaré, Macau, Mossoró, Pedro Avelino, Pendências, Porto do Mangue, Serra do Mel;;Aerofotogrametria e perfilamento a laser;005/2020;TOPOCART;002/2020
BA;Alagoinhas, Aramari;;Aerofotogrametria e perfilamento a laser;010/2020;TOPOCART;003/2020
MG;Argirita, Bicas, Bom Jardim de Minas, Chácara, Ervália, Eugenópolis, Guarará, Guiricema, Itabirito, Juiz de Fora, Leopoldina, Lima Duarte, Mariana, Maripá de Minas, Muriaé, Nova Lima, Olaria, Ouro Preto, Patrocínio do Muriaé, Pedro Teixeira, Pequeri, Rio Acima, Rosário da Limeira, São Sebastião da Vargem Alegre;GSD 10 cm;Aerofotogrametria e perfilamento a laser;066/2020;TOPOCART;010/2020
RJ;Itaperuna;GSD 10 cm;Aerofotogrametria e perfilamento a laser;066/2020;TOPOCART;010/2020
MT;Nova Mutum, Paranatinga, Planalto da Serra, Rosário Oeste, Santa Rita do Trivelato;GSD 10 cm;Aerofotogrametria e perfilamento a laser;068/2020;TOPOCART;011/2020
DF;Brasília;1:1.000;Aerofotogrametria e perfilamento a laser;086/2020;TOPOCART;012/2020
MT;Alta Floresta;;Aerofotogrametria e perfilamento a laser;092/2020;TOPOCART;013/2020
PA;Novo Progresso;;Aerofotogrametria e perfilamento a laser;092/2020;TOPOCART;013/2020
MG;Araxá ;;Aerofotogrametria e perfilamento a laser;098/2020;TOPOCART;014/2020
TO;Araguaína;1:1.000;Aerofotogrametria e perfilamento a laser;125/2020;TOPOCART;015/2020
TO;Cariri do Tocantins, Gurupi;1:1.000;Aerofotogrametria e perfilamento a laser;128/2020;TOPOCART;016/2020
DF;Brasília;1:1.000;Aerofotogrametria e perfilamento a laser;156/2020;TOPOCART;021/2020
MG;Barão de Cocais, Belo Horizonte, Belo Vale, Brumadinho, Carté, Catas Altas, Congonhas, Conselheiro Lafaiete, Ibirité, Itabira, Itabirito, Jeceaba, Mariana, Mário Campos, Moeda, Nova Lima, Ouro Preto, Rio Acima, Rio Piracicaba, Santa Bárbara, São Brás do Suaçuí, São Gonçalo do Rio Abaixo, Sarzedo;1:5.000;Aerofotogrametria e perfilamento a laser;157/2020;TOPOCART;022/2020
PR;Campo Mourão, Itambaracá;1:1.000;Aerofotogrametria e perfilamento a laser;165/2020;TOPOCART;023/2020
SP;Cândido Mota, Martinópolis, Palmital, Regente Feijó;1:1.000;Aerofotogrametria e perfilamento a laser;165/2020;TOPOCART;023/2020
BA;Barra, Bom Jesus da Lapa, Carinhanha, Ibotirama, Malhada, Morpará, Muquém de São Francisco, Paratinga, Sítio do Mato, Xique-Xique;1:1.000;Aerofotogrametria e perfilamento a laser;203/2020;TOPOCART;025/2020
MG;Buritizeiro, Ibiaí, Itacarambi, Jaíba, Januária, Juvenília, Lagoa dos Patos, Lassance, Manga, Matias Cardoso, Pedras de Maria da Cruz, Pirapora, São Francisco, São Gonçalo do Abaeté, São João das Missões, Três Marias, Várzea da Palma;1:1.000;Aerofotogrametria e perfilamento a laser;203/2020;TOPOCART;025/2020
MG;Conceição das Alagoas. Planura;1:1.000;Aerofotogrametria e perfilamento a laser;199/2020;TOPOCART;026/2020
SP;Guaíra, Miguelópolis;1:1.000;Aerofotogrametria e perfilamento a laser;199/2020;TOPOCART;026/2020
PA;Juruti;;Aerofotogrametria e perfilamento a laser;233/2020;TOPOCART;029/2020
MG;"Acaiaca, Alvinópolis, Antônio Dias,
Barão de Cocais, Barra Longa, Bela Vista de Minas, Belo Horizonte, Belo Vale,
Betim, Bom Jesus do Amparo, Bom Jesus do Galho, Brumadinho, Caeté, Catas
Altas, Congonhas, Conselheiro Lafaiete, Córrego Novo, Dionísio, Dom
Silvério, Ferros, Igarapé, Itabira, Itabirito, Jeceaba, João Monlevade,
Juatuba, Mariana, Mário Campos, Marliéria, Moeda, Nova Era, Nova
Lima, Ouro Branco, Ouro Preto, Passabém, Pingo-d'Água, Raposos, Raul
Soares, Rio Acima, Rio Casca, Rio Doce, Rio Piracicaba, Sabará, Santa
Bárbara, Santa Cruz do Escalvado, Santa Luzia, Santa Maria de Itabira, São Domingos
do Prata, São Gonçalo do Rio Abaixo, São Joaquim de Bicas, São José do Goiabal, São
Pedro dos Ferros, Sarzedo, Sem-Peixe";1:5.000;Aerofotogrametria e perfilamento a laser;247/2020;TOPOCART;032/2020
PA;Dom Eliseu, Ipixuna do Pará, Paragominas, Rondon do Pará, Tomé-Açu;GSD 10 cm;Aerofotogrametria e perfilamento a laser;255/2020;TOPOCART;034/2020
BA;Cocos, Jaborandi;1:1.000;Aerofotogrametria e perfilamento a laser;257/2020;TOPOCART;035/2020
RJ;Paracambi, Japeri, Seropédica;GSD 5 cm;Aerofotogrametria;1001/2020;TECSYSTEM;001/2020
PB;Bayeux, Cabedelo, Conde, João Pessoa, Santa Rita;GSD 10 cm;Aerofotogrametria, Perfilamento laser;189/2021;AEROCARTA;282A/2021
PB;Cabedelo, João Pessoa, Lucena, Santa Rita;GSD 10 cm;Aerofotogrametria, Perfilamento laser;005/2021;AEROCARTA;278/2021
RJ;Angra Dos Reis;;Aerofotogrametria, Perfilamento laser;035/2021;AEROSAT;174C/2021
SP;Arujá, Bertioga, Biritiba, Mirim, Guarujá, Itanhaém, Itaquaquecetuba, Itariri, Miracatu, Mogi Das Cruzes, Mongaguá, Pedro De Toledo, Peruíbe, Praia Grande, Santos, São Vicente;1:5.000;Aerofotogrametria, Perfilamento laser;040/2021;AEROSAT;248/2021
PR;"Abatiá, Andirá, Arapoti, Bandeirantes, Barra Do Jacaré, Cândido Mota, Congonhinhas, Conselheiro Mairinck, Cornélio Procópio, Curiúva, Figueira, Guapirama, Ibaiti, Itambaracá, Jaboti, Jaguariaíva, Jundiaí Do
Sul, Nova Fátima, Pinhalão, Piraí Do Sul, Ribeirão Do Pinhal, Santa Amélia, Santa Mariana, Santo Antônio Da Platina, Sapopema, Telêmaco Borba, Tomazina, Ventania, Wenceslau
Braz";;Aerofotogrametria, Perfilamento laser;043/2021;AEROSAT;249/2021
AC;Acrelândia, Lábrea, Plácido De Castro, Porto Velho, Rio Branco, Senador Guiomard;;Aerofotogrametria, Perfilamento laser;054/2021;AEROSAT;250/2021
BA;Angical, Barreiras;;Aerofotogrametria, Perfilamento laser;100/2021;AEROSAT;255/2021
RJ;Resende;;Aerofotogrametria, Perfilamento laser;102/2021;AEROSAT;174E/2021
SP;São José Do Barreiro;;Aerofotogrametria, Perfilamento laser;102/2021;AEROSAT;174E/2021
PR;Adrianópolis;;Aerofotogrametria, Perfilamento laser;105/2021;AEROSAT;253/2021
SP;Ribeira;;Aerofotogrametria, Perfilamento laser;105/2021;AEROSAT;253/2021
MT;Gaúcha Do Norte, Paranatinga;;Aerofotogrametria, Perfilamento laser;121/2021;AEROSAT;257/2021
BA;Morro Do Chápeu, Ourolândia, Várzea Nova;;Aerofotogrametria, Perfilamento laser;132/2021;AEROSAT;260/2021
SC;Entre Rios, Ipuaçu, Lajeado, Grande, Marema, Xanxerê;;Aerofotogrametria, Perfilamento laser;137/2021;AEROSAT;261/2021
MG;Arinos;;Aerofotogrametria, Perfilamento laser;190/2021;AEROSAT;265/2021
RN;Açu, Angicos, Fernando Pedroza, Ipanguaçu, Itajá;GSD 8 cm;Aerofotogrametria, Perfilamento laser;002/2021;BASE;B-1308/2021
SP;Diadema, Mauá, Santo André, São Bernardo Do Campo, São Caetano Do Sul, São Paulo;GSD 16 cm;Aerofotogrametria, Perfilamento laser;037/2021;BASE;B-1311/2021
MG;"Abre Campo, Alpercata, Antônio Dias, Barão De Cocais, Bela Vista De Minas, Belo
Horizonte, Belo Oriente, Bom Jesus Do Amparo, Bugre, Caeté, Coronel Fabriciano, Durandé, Governador Valadares, Iapu, Ipaba, Ipatinga, Jaguaraçu, João
Monlevade,  Manhuaçu, Martins Soares, Matipó, Naque, Nova Era, Nova União, Periquito, Piedade De Ponte Nova, Reduto, Rio Casca, Rio
Piracicaba, Sabará, Santa Luzia, Santana Do Paraíso, Santo
Antônio Do Grama, São Domingos Do Prata, São Gonçalo Do Rio Abaixo, Sem-Peixe, Sobrália, Timóteo";GSD 10 cm;Aerofotogrametria, Perfilamento laser;042/2021;BASE;B-1312/2021
ES;"Brejetuba, Conceição Do Castelo, Domingos Martins, Ibatiba, Irupi, Iúna, Marechal Floriano, Muniz Freire,  Venda Nova Do
Imigrante, Viana";GSD 10 cm;Aerofotogrametria, Perfilamento laser;042/2021;BASE;B-1312/2021
SP;"Arujá, Atibaia, Bom Jesus Dos
Perdões, Caieiras, Ferraz De Vasconcelos, Francisco Morato, Franco Da Rocha, Guarulhos, Itaquaquecetuba, Mairiporã, Mauá, Mogi Das Cruzes, Nazaré Paulista, Poá, Santa Isabel, Santo
André, São Caetano Do Sul, São Paulo, Suzano";GSD 22 cm;Aerofotogrametria  ;052/2021;BASE;B-1307A/2021
SP;Santo André, São Bernardo Do Campo, São Caetano Do Sul, São Paulo;GSD 6 cm;Aerofotogrametria  ;109/2021;BASE;B-1317/2021
SP;Caieiras, Cajamar, Franco Da Rocha, Mairiporã, Pirapora Do Bom Jesus, Santana De Parnaíba, São Paulo;GSD 10 cm;Aerofotogrametria, Perfilamento laser;113/2021;BASE;B-1318/2021
SP;São Sebastião;GSD 6 cm;Aerofotogrametria  ;151/2021;BASE;B1320/2021
SP;Arujá, Caieiras, Guarulhos, Itaquaquecetuba, Mairiporã, Mogidas Cruzes, Santa Isabel, São Paulo;GSD 22 cm;Aerofotogrametria, Perfilamento laser;207/2021;BASE;B-1321/2021
MS;Três Lagoas;;Aerofotogrametria  ;357/2021;CANOINHAS ASSESSORIA;T3AE/2021
PE;Cabo De Santo Agostinho, Escada,Ipojuca;;Aerofotogrametria, Perfilamento laser;135/2021;CHESF;001/2021
RS;Eldourado Do Sul, Guaíba, Lagoa Dos Patos;;Aerofotogrametria  ;009/2021;CTMGEO;001/2021
PR;Almirante Tamandaré, Campina Grande Do Sul, Colombo, Curitiba, Pinhais, Quatro Barras;;Aerofotogrametria  ;049/2021;CTMGEO;002/2021
PR;Ampére;;Aerofotogrametria  ;119/2021;CTMGEO;003/2021
PR;Almirante Tamandaré, Campo Largo, Campo Magro, Curitiba;;Aerofotogrametria  ;236/2021;CTMGEO;005/2021
PR;Tupãssi;;Aerofotogrametria  ;255/2021;CTMGEO;006/2021
RS;Nova Prata;;Aerofotogrametria  ;264/2021;CTMGEO;007/2021
PR;Medianeira;;Aerofotogrametria  ;343/2021;CTMGEO;008/2021
PR;Abatiá, Andirá, Bandeirante, Carambeí, Curiúva, Ibaiti, Jundiaí Do Sul, Ponta Grossa, Ribeirão Do Pinhal, Santa Amélia, Telêmaco Borba, Tibagi, Ventania;1:16.800;Perfilamento laser;051/2021;ENGEFOTO;002/2021
SP;Assis, Cândido Mota, Palmital,;1:16.800;Perfilamento laser;051/2021;ENGEFOTO;002/2021
SP;"Álvares Florence, Araçatuba,
Araraquara, Aspásia, Auriflama, Bálsamo, Barbosa,
Barretos, Barrinha, Bebedouro, Birigui, Borborema, Braúna,
Brejo Alegre, Buritama, Cafelândia, Cajobi, Cardoso,
Catanduva, Catiguá, Cedral, Clementina, Colina, Colômbia,
Cosmorama, Dobrada, Dolcinópolis, Estrela D'Oeste,
Fernandópolis, Fernando Prestes, Floreal, Gavião Peixoto,
General Salgado, Guaíra, Guapiaçu, Guarantã, Guariba,
Guzolândia, Iacri, Ibaté, Ibirá, Ilha Solteira, Itápolis,
Jaboticabal, Jales, José Bonifácio, Magda, Matão, Meridiano,
Mirassol, Monções, Monte Alto, Monte Aprazível, Monte Azul
Paulista Neves Paulista, Nhandeara, Novo Horizonte, Olímpia,
Ouroeste, Palmares Paulista, Paraíso, Parapuã, Penápolis,
Pereira Barreto, Pindorama, Pirangi, Pitangueiras, Planura,
Poloni, Pongaí, Pontalinda, Populina, Rinópolis, Rubinéia,
Santa Adélia, Santa Ernestina, Santa Fé Do Sul, Santana Da Ponte Pensa, Santa Rita D'Oeste, Santa Salete, Santo Antônio Do
Aracanguá, Santópolis Do Aguapeí, São Carlos, São José Do Rio
Preto, Sebastianópolis Do Sul, Sertãozinho, Severínia, Sud
Mennucci, Taiúva, Tanabi, Taquaral, Taquaritinga, Três
Fronteiras, Turiúba, Turmalina, Uchoa, Urânia, Valentim
Gentil/Sp, Vista Alegre Do Alto, Vitória Brasil, Votuporanga";GSD 10 cm;Perfilamento laser;084/2021;ENGEFOTO;003/2021
PR;Ampére, Bela Vista Da Caroba, Bom Sucesso Do Sul, Candói, Cantagalo, Capanema, Chopinzinho, Dois Vizinhos, Itapejara D'Oeste, Laranjeiras Do Sul, Marmeleiro, Mato Rico, Pato Branco, Paula Freitas, Pérola D'Oeste, Pinhão, Planalto, Porto União, Porto Vitória, Realeza, Renascença, Reserva Do Iguaçu, Salto Do Lontra, Santa Izabel Do Oeste, Santa Maria Do Oeste, Sãojoão, Sãolourenço Do Oeste, União Da Vitória, Virmond, Vitorino; GSD 15 cm;Aerofotogrametria  ;120/2021;ENGEFOTO;006/2021
PR;Guaratuba, Itapoá, Matinhos;GSD 10 cm;Aerofotogrametria  ;148/2021;ENGEFOTO;008/2021
PR;Arapoti, Faxinal, Wenceslau Braz;GSD 15 cm;Aerofotogrametria, Perfilamento laser;158/2021;ENGEFOTO;009/2021
SP;Gália, Garça, Palestina;;Aerofotogrametria, Perfilamento laser;030/2021;ENGEMAP;294/2021
SP;Arujá, Barueri, Cajamar, Cotia, Guarujá, Jandira, Mairiporã, Santana De Parnaíba, São Caetano Do Sul, São Paulo, Suzano;;Aerofotogrametria  ;068/2021;ENGEMAP;298V/2021
SP;Tarumã;;Aerofotogrametria, Perfilamento laser;096/2021;ENGEMAP;303/2021
SP;Andradina, Castilho, Guzolândia, Ilha Solteira, Itapura, Pereira Barreto, Santo Antônio Do Aracanguá, Sud Mennucci, Suzanápolis;;Aerofotogrametria, Perfilamento laser;142/2021;ENGEMAP;308/2021
